medicine,company,img_url
アルロイドG顆粒溶解用67％,カイゲンファーマ株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2329116R1041/2329116R1041_000.jpg
デュピクセント皮下注300mgシリンジ,サノフィ株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/4490405G1024/4490405G1024_001.jpg
ベプリジル塩酸塩錠50mg「TE」,トーアエイヨー株式会社,https://www.qlife.jp/meds/image/noimage.png
ベプリジル塩酸塩錠100mg「TE」,トーアエイヨー株式会社,https://www.qlife.jp/meds/image/noimage.png
ラベプラゾールナトリウム錠10mg「ケミファ」,日本薬品工業株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2329028F1210/2329028F1210_010.jpg
クロピドグレル錠25mg「明治」,Ｍｅ ファルマ株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/3399008F1319/3399008F1319_000.jpg
クロピドグレル錠50mg「明治」,Ｍｅ ファルマ株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/3399008F3079/3399008F3079_000.jpg
クロピドグレル錠75mg「明治」,Ｍｅ ファルマ株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/3399008F2315/3399008F2315_000.jpg
ジェノトロピンTC注用5.3mg［成人成長ホルモン分泌不全症（重症に限る）］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402D9038/2412402D9038_002.jpg
ジェノトロピンTC注用5.3mg［成長ホルモン分泌不全性低身長症ほか］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402D9038/2412402D9038_002.jpg
ジェノトロピンTC注用5.3mg［慢性腎不全］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402D9038/2412402D9038_002.jpg
ジェノトロピンTC注用12mg［成人成長ホルモン分泌不全症（重症に限る）］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402L4057/2412402L4057_002.jpg
ジェノトロピンTC注用12mg［成長ホルモン分泌不全性低身長症ほか］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402L4057/2412402L4057_002.jpg
ジェノトロピンTC注用12mg［慢性腎不全］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402L4057/2412402L4057_002.jpg
ジェノトロピンゴークイック注用5.3mg［成人成長ホルモン分泌不全症（重症に限る）］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402P4024/2412402P4024_003.jpg
ジェノトロピンゴークイック注用5.3mg［成長ホルモン分泌不全性低身長症ほか］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402P4024/2412402P4024_003.jpg
ジェノトロピンゴークイック注用5.3mg［慢性腎不全］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402P4024/2412402P4024_003.jpg
ジェノトロピンゴークイック注用12mg［成人成長ホルモン分泌不全症（重症に限る）］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402P5020/2412402P5020_003.jpg
ジェノトロピンゴークイック注用12mg［成長ホルモン分泌不全性低身長症ほか］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402P5020/2412402P5020_003.jpg
ジェノトロピンゴークイック注用12mg［慢性腎不全］,ファイザー株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/2412402P5020/2412402P5020_003.jpg
イグザレルト錠15mg［非弁膜症性心房細動患者における虚血性脳卒中および全身性塞栓症の発症抑制］,バイエル薬品株式会社,https://www.qlife.jp/meds/img/packageinsert/basic/3339003F2020/3339003F2020_008.jpg
